rank,iso,name,year_used,ppp_used,reliability,BSLI,F_ML,H,D,Hs,gini,F_ML_raw,H_raw,D_pct,Hs_palma
1,NOR,Norway,2019,2017,fallback_10yr,0.9254,1.0,0.9384,0.0028,0.0348,0.2774,55.4766,65.2998,0.2521,0.9751
2,LUX,Luxembourg,2019,2017,fallback_10yr,0.8993,0.9901,1.0,0.0013,0.0954,0.3424,54.9396,69.4836,0.1205,1.3573
3,ARE,United Arab Emirates,2013,2017,fallback_10yr,0.8472,0.8798,0.9362,0.0,0.0664,0.3251,48.9372,65.144,,1.174
4,CHE,Switzerland,2018,2017,fallback_10yr,0.8422,0.9337,0.9244,0.0004,0.0855,0.3314,51.8679,64.3456,0.0396,1.2948
5,ISL,Iceland,2017,2017,fallback_10yr,0.802,0.8575,0.8093,0.0002,0.0264,0.2613,47.7247,56.5217,0.0179,0.922
6,AUT,Austria,2019,2017,fallback_10yr,0.7738,0.8507,0.8258,0.0079,0.0541,0.3021,47.3522,57.6429,0.7126,1.0965
7,DNK,Denmark,2019,2017,fallback_10yr,0.7538,0.8313,0.7734,0.0037,0.0391,0.2772,46.2949,54.0801,0.3359,1.0022
8,NLD,Netherlands,2019,2017,fallback_10yr,0.7441,0.8218,0.7783,0.0013,0.0503,0.2925,45.7817,54.417,0.1166,1.0725
9,BEL,Belgium,2019,2017,fallback_10yr,0.7387,0.8029,0.752,0.0014,0.0323,0.2722,44.7493,52.6285,0.1292,0.9593
10,DEU,Germany,2018,2017,fallback_10yr,0.7202,0.809,0.7843,0.0028,0.0712,0.317,45.0853,54.8246,0.2497,1.2045
11,FIN,Finland,2019,2017,fallback_10yr,0.7117,0.7784,0.7319,0.0011,0.0377,0.2774,43.4191,51.2622,0.1,0.9931
12,CAN,Canada,2017,2017,fallback_10yr,0.7012,0.7922,0.7931,0.0055,0.086,0.3331,44.1694,55.4222,0.4974,1.298
13,USA,United States,2019,2017,fallback_10yr,0.6998,0.8784,0.9347,0.0139,0.1985,0.4154,48.8597,65.0428,1.2494,2.0078
14,SWE,Sweden,2019,2017,fallback_10yr,0.6877,0.761,0.7217,0.0048,0.0449,0.2931,42.4689,50.5687,0.4342,1.0387
15,AUS,Australia,2018,2017,fallback_10yr,0.6538,0.761,0.7582,0.0082,0.0973,0.3433,42.4698,53.0505,0.7382,1.3694
16,FRA,France,2018,2017,fallback_10yr,0.6361,0.7372,0.7073,0.0008,0.0824,0.3238,41.1732,49.5898,0.0723,1.2749
17,MLT,Malta,2019,2017,fallback_10yr,0.5923,0.6819,0.6502,0.0049,0.0657,0.3104,38.1673,45.7108,0.444,1.17
