keyword,tag,year,count
지역산업,regional_industry,1983,1
지역산업,regional_industry,1984,2
지역산업,regional_industry,1985,1
지역산업,regional_industry,1992,1
지역산업,regional_industry,1993,2
지역산업,regional_industry,1996,1
지역산업,regional_industry,1999,2
지역산업,regional_industry,2001,2
지역산업,regional_industry,2002,2
지역산업,regional_industry,2003,1
지역산업,regional_industry,2004,2
지역산업,regional_industry,2006,1
지역산업,regional_industry,2007,1
지역산업,regional_industry,2008,1
지역산업,regional_industry,2009,3
지역산업,regional_industry,2010,1
지역산업,regional_industry,2011,1
지역산업,regional_industry,2012,2
지역산업,regional_industry,2013,4
지역산업,regional_industry,2014,1
지역산업,regional_industry,2015,4
지역산업,regional_industry,2016,1
지역산업,regional_industry,2017,3
지역산업,regional_industry,2019,2
지역산업,regional_industry,2020,4
지역산업,regional_industry,2021,3
지역산업,regional_industry,2024,1
지역산업,regional_industry,2025,2
지역발전,regional_development,1980,1
지역발전,regional_development,1987,1
지역발전,regional_development,1989,1
지역발전,regional_development,1990,1
지역발전,regional_development,1993,1
지역발전,regional_development,1994,3
지역발전,regional_development,1995,1
지역발전,regional_development,1999,1
지역발전,regional_development,2001,1
지역발전,regional_development,2002,1
지역발전,regional_development,2003,4
지역발전,regional_development,2004,1
지역발전,regional_development,2005,1
지역발전,regional_development,2007,1
지역발전,regional_development,2008,2
지역발전,regional_development,2009,1
지역발전,regional_development,2010,7
지역발전,regional_development,2011,2
지역발전,regional_development,2012,5
지역발전,regional_development,2013,1
지역발전,regional_development,2014,2
지역발전,regional_development,2015,1
지역발전,regional_development,2016,2
지역발전,regional_development,2017,3
지역발전,regional_development,2018,6
지역발전,regional_development,2019,3
지역발전,regional_development,2020,2
지역발전,regional_development,2021,2
지역발전,regional_development,2022,1
지역발전,regional_development,2023,5
지역발전,regional_development,2024,1
지역발전,regional_development,2025,1
도시재생,urban_regeneration,2008,1
도시재생,urban_regeneration,2009,3
도시재생,urban_regeneration,2010,3
도시재생,urban_regeneration,2011,4
도시재생,urban_regeneration,2013,5
도시재생,urban_regeneration,2014,5
도시재생,urban_regeneration,2015,7
도시재생,urban_regeneration,2016,5
도시재생,urban_regeneration,2017,7
도시재생,urban_regeneration,2018,9
도시재생,urban_regeneration,2019,7
도시재생,urban_regeneration,2020,7
도시재생,urban_regeneration,2021,2
도시재생,urban_regeneration,2022,3
도시재생,urban_regeneration,2023,1
도시재생,urban_regeneration,2025,4
인구감소,population_decline,2010,1
인구감소,population_decline,2014,1
인구감소,population_decline,2015,1
인구감소,population_decline,2016,2
인구감소,population_decline,2017,2
인구감소,population_decline,2019,1
인구감소,population_decline,2020,1
인구감소,population_decline,2021,2
인구감소,population_decline,2022,6
인구감소,population_decline,2023,4
인구감소,population_decline,2024,12
인구감소,population_decline,2025,9
산업단지,industrial_complex,1995,1
산업단지,industrial_complex,1997,1
산업단지,industrial_complex,2006,1
산업단지,industrial_complex,2007,1
산업단지,industrial_complex,2008,2
산업단지,industrial_complex,2010,2
산업단지,industrial_complex,2011,3
산업단지,industrial_complex,2012,1
산업단지,industrial_complex,2013,4
산업단지,industrial_complex,2014,4
산업단지,industrial_complex,2015,9
산업단지,industrial_complex,2016,3
산업단지,industrial_complex,2017,5
산업단지,industrial_complex,2018,1
산업단지,industrial_complex,2019,2
산업단지,industrial_complex,2020,4
산업단지,industrial_complex,2022,2
산업단지,industrial_complex,2023,2
산업단지,industrial_complex,2024,2
울산,ulsan_direct,1980,1
울산,ulsan_direct,2016,1
